All PCS,Pol
97.86,95.18
98.01,93.97
91.82,85.69
92.41,89.11
90.25,87.33
88.4,80.64
87.39,77.82
45.54,43.45
96.61,93.67
88.93,84.64
73.55,72.44
90.39,82.73
90.7,87.98
96.38,94.65
78.59,76.45
90.02,84.19
94.51,93.28
21.32,1
15.73,8.22
97.97,93.65
95,92.58
84.97,72.89
97.83,96.45
99.69,99.28
98.83,96.95
97.06,95.49
89.61,82.89
97.55,93.3
61.45,49.87
99.5,99.02
95.77,92.6
98.84,96.87
99.29,98.11
98.14,96.72
45.51,41.78
34.23,5.52
97.6,93.79
98.05,95.24
95.31,85.4
96.22,91.88
90.62,86.26
80.37,80.37
85.6,78.9
95.88,93.93
95.96,94.51
97.26,95.32
38.52,32.76
56.8,51.32
95.6,91.44
96.37,91.59
95.85,88.09
94.99,90.27
93.64,87.57
95.53,91.05
95.05,93.47
4.91,3.57
98.42,96.14
98.63,85.36
95.97,90.92
94.03,91.55
76.97,76.97
99.99,99.59
94.22,90.04
98.79,97.72
96.85,94.12
94.91,89.69
